Pozo,Fecha,Salinidad
SITIO_GDE_6D,30/08/1995,137000
SITIO_GDE_6D,05/09/1995,128000
SITIO_GDE_6D,11/09/1995,28000
SITIO_GDE_6D,22/09/1995,132000
SITIO_GDE_6D,27/09/1995,70000
SITIO_GDE_6D,03/10/1995,134000
SITIO_GDE_6D,09/10/1995,132000
SITIO_GDE_6D,19/10/1995,132000
SITIO_GDE_6D,24/10/1995,150000
SITIO_GDE_6D,01/11/1995,127000
SITIO_GDE_6D,09/11/1995,125000
SITIO_GDE_6D,15/11/1995,125000
SITIO_GDE_6D,21/11/1995,125000
SITIO_GDE_6D,28/11/1995,122000
SITIO_GDE_6D,11/12/1995,122000
SITIO_GDE_6D,19/12/1995,122000
SITIO_GDE_6D,27/12/1995,135000
SITIO_GDE_6D,03/01/1996,87000
SITIO_GDE_6D,10/01/1996,89000
SITIO_GDE_6D,16/01/1996,138000
SITIO_GDE_6D,22/01/1996,116000
SITIO_GDE_6D,29/01/1996,126000
SITIO_GDE_6D,06/02/1996,116000
SITIO_GDE_6D,14/02/1996,123000
SITIO_GDE_6D,19/02/1996,130000
SITIO_GDE_6D,20/02/1996,122000
SITIO_GDE_6D,27/02/1996,130000
SITIO_GDE_6D,04/03/1996,120000
SITIO_GDE_6D,11/03/1996,107000
SITIO_GDE_6D,20/03/1996,173000
SITIO_GDE_6D,25/03/1996,120000
SITIO_GDE_6D,02/04/1996,140000
SITIO_GDE_6D,09/04/1996,135000
SITIO_GDE_6D,16/04/1996,150000
SITIO_GDE_6D,22/04/1996,133000
SITIO_GDE_6D,06/05/1996,32000
SITIO_GDE_6D,14/05/1996,142000
SITIO_GDE_6D,20/05/1996,142000
SITIO_GDE_6D,27/05/1996,121000
SITIO_GDE_6D,03/06/1996,130000
SITIO_GDE_6D,10/06/1996,126000
SITIO_GDE_6D,17/06/1996,126000
SITIO_GDE_6D,24/06/1996,98000
SITIO_GDE_6D,04/07/1996,142000
SITIO_GDE_6D,12/07/1996,35000
SITIO_GDE_6D,17/07/1996,140000
SITIO_GDE_6D,22/07/1996,136000
SITIO_GDE_6D,01/08/1996,126000
SITIO_GDE_6D,12/08/1996,129000
SITIO_GDE_6D,13/08/1996,125000
SITIO_GDE_6D,27/08/1996,138000
SITIO_GDE_6D,02/09/1996,130000
SITIO_GDE_6D,12/09/1996,136000
SITIO_GDE_6D,17/09/1996,140000
SITIO_GDE_6D,10/10/1996,140000
SITIO_GDE_6D,17/10/1996,136000
SITIO_GDE_6D,05/11/1996,136000
SITIO_GDE_6D,13/11/1996,14000
SITIO_GDE_6D,15/11/1996,14000
SITIO_GDE_6D,19/11/1996,130000
SITIO_GDE_6D,21/11/1996,142000
SITIO_GDE_6D,25/11/1996,118000
